top_hotel_rank,name,country,city_location,state_region,category,hotel_type,luxury_category,short_description,description,official_website,booking_url,google_maps_url,best_time_to_visit,highlights,amenities,dining_information,spa_wellness,activities,why_we_recommend,is_featured,is_popular,is_international_top_50,is_top_hotel,is_india_top_50,display_order,status
11,Soneva Jani,Maldives,Maldives,Noonu Atoll,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,An iconic overwater eco-luxury resort in the Maldives featuring waterslides and a retractable roof observatory.,"Located in the untouched Noonu Atoll, Soneva Jani is a barefoot luxury paradise offering colossal overwater villas with private slides plunging into crystal-clear turquoise lagoons. Highlights include the overwater open-air cinema, stargazing observatory, and sustainable luxury philosophy.",https://soneva.com/resorts/soneva-jani,https://soneva.com/resorts/soneva-jani/booking,https://maps.google.com/?q=Soneva+Jani+Maldives,November to April (Dry season),"Overwater villas with waterslides, retractable master bedroom roof for stargazing, Over-the-Stars Cinema, Eco-Centro.","Overwater observatory, open-air cinema, wine cellar, chocolate and ice cream parlors, private butler (Mr./Ms. Friday).","The Gathering, Overseas by Mathias Dahlgren, So Wild by Diana Von Cranach, Down to Earth.","Soneva Soul overwater wellness spa offering holistic treatments, Ayurveda, and yoga pavilions.","Dolphin cruises, scuba diving with marine biologists, coral reef planting, stargazing astronomy dinners.",The ultimate barefoot luxury castaway fantasy with world-class eco-conscious design and private slides.,TRUE,TRUE,TRUE,TRUE,FALSE,11,PUBLISHED
12,Soneva Fushi,Maldives,Maldives,Baa Atoll,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,The pioneering luxury barefoot hideaway in the Baa Atoll offering jungle villas and outdoor cinema.,"Soneva Fushi is the original barefoot luxury resort in the Maldives, set on a lush private island in the Baa Atoll UNESCO Biosphere Reserve. Featuring massive rustic-luxe villas hidden among jungle foliage, an open-air cinema, observatory, and an unwavering commitment to sustainability.",https://soneva.com/resorts/soneva-fushi,https://soneva.com/resorts/soneva-fushi/booking,https://maps.google.com/?q=Soneva+Fushi+Maldives,November to April,"Private beach villas, Cinema Paradiso, Glass Studio, Junior Master Chef classes, Robinson Crusoe style.","Open-air cinema, observatory, organic gardens, 24/7 butler service, SCUBA diving center.","Mihiree Mithaa, Out of the Blue, Fresh in the Garden, Down to Earth.","Soneva Soul spa offering wellness therapies, yoga classes, and meditation in nature.","Manta ray snorkeling excursions, turtle safaris, glassblowing workshops, private sandbank dining.","The pioneer of sustainable luxury where 'no news, no shoes' meets absolute five-star indulgence.",TRUE,TRUE,TRUE,TRUE,FALSE,12,PUBLISHED
13,One&Only Reethi Rah,Maldives,Maldives,North Malé Atoll,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,An ultra-exclusive private island sanctuary in the Maldives surrounded by pristine lagoons and coral reefs.,"Spread across a sprawling private island in North Malé Atoll, One&Only Reethi Rah is the epitome of glamorous tropical seclusion. Boasting 12 pristine beaches, spectacular overwater and beachfront villas, and world-class culinary venues, it is a favorite for discerning travelers.",https://www.oneandonlyresorts.com/reethi-rah,https://www.oneandonlyresorts.com/reethi-rah/reservations,https://maps.google.com/?q=OneAndOnly+Reethi+Rah+Maldives,November to April,"12 pristine private beaches, ESPA spa courtyard, overwater villas with private pools, celebrity chef dining.","Multiple swimming pools, tennis courts, climbing wall, KidsOnly club, private yacht transfers.","Reethi Restaurant, Tapasake (Japanese overwater), Fanditha (Middle Eastern beach lounge), Botanica.","One&Only Spa by ESPA offering vitality pools, tranquil gardens, and bespoke wellness treatments.","Private yacht charters, deep-sea fishing, wreck diving, tennis coaching, water sports.","Unmatched island spaciousness, pristine beaches, and world-class recreational facilities in the Maldives.",TRUE,TRUE,TRUE,TRUE,FALSE,13,PUBLISHED
14,Cheval Blanc Randheli,Maldives,Maldives,Noonu Atoll,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,An aquatic wonderland of water villas and bespoke luxury designed by Jean-Michel Gathy in Noonu Atoll.,"Cheval Blanc Randheli is an ultra-exclusive Maison in the Maldives' Noonu Atoll. Featuring cathedral-ceiling villas with 12.5-meter private pools, dedicated Bamford spa treatments, and culinary mastery overseen by Michelin-starred chefs.",https://www.chevalblanc.com/en/maison/randheli,https://www.chevalblanc.com/en/maison/randheli/reservations,https://maps.google.com/?q=Cheval+Blanc+Randheli+Maldives,November to April,"12.5m private pools in every villa, dedicated Majordome service, Guerlain spa island, custom seaplane.","Private seaplane lounge, Guerlain spa, state-of-the-art diving center, tennis courts, kids' club.","Le 1947 (Fine dining), The White, The Diptyque, Deelani (Mediterranean grill).",Dedicated Guerlain spa island offering exclusive customized treatments and relaxation pavilions.,"Seaplane safari, sunset dolphin cruises, night snorkeling, private island castaway picnics.",The pinnacle of French chic and sophisticated island architecture in the Indian Ocean.,TRUE,TRUE,TRUE,TRUE,FALSE,14,PUBLISHED
15,Amanpuri,Thailand,Phuket,Phuket Province,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,"The legendary hillside tropical sanctuary overlooking the Andaman Sea in Phuket, Thailand.","Nestled into a lush coconut grove cascading down a hillside to Pansea Beach, Amanpuri is the original crown jewel of the Aman resort empire. Known for its iconic Thai pavilions, turquoise swimming pools, holistic wellness center, and peerless serenity.",https://www.aman.com/resorts/amanpuri,https://www.aman.com/resorts/amanpuri/reservations,https://maps.google.com/?q=Amanpuri+Phuket,November to April (Dry tropical season),"Private access to Pansea Beach, traditional Thai pavilion design, holistic wellness immersions, 27m main pool.","Holistic wellness center, Pilates studio, tennis courts, marine sports center, library, boutique.","The Restaurant (Thai and Western), Arva (Italian), Nama (Japanese), The Beach Club.","Amanpuri Wellness Centre featuring resident practitioners, hydrotherapy rooms, and yoga pavilion.","Private yacht charters to Phang Nga Bay, Muay Thai training, scuba diving, pottery classes.","The timeless icon of Asian luxury resort design, offering absolute peace and legendary Aman hospitality.",TRUE,TRUE,TRUE,TRUE,FALSE,15,PUBLISHED
16,Capella Ubud,Indonesia,Bali,Bali,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,"A tranquil cliffside sanctuary suspended above the Ayung River valley in Ubud, Bali.","Capella Ubud is a tented camp luxury retreat designed by Bill Bensley, nestled deep within the rainforest of Keliki valley. Inspired by early 19th-century European explorers, it combines canvas luxury tents with saltwater pools and authentic Balinese healing traditions.",https://www.capellahotels.com/en/capella-ubud,https://www.capellahotels.com/en/capella-ubud/reservations,https://maps.google.com/?q=Capella+Ubud+Bali,April to October (Dry season in Bali),"Luxurious tented camps with private saltwater pools, Auriga Wellness spa, campfire storytelling sessions, jungle views.","Saltwater lap pools, Auriga Wellness tented spa, gymnasium, 24-hour Capella Culturist service.","Mads Lange (camp dining), Api Jiwa (Asian omakase grill), The Mortar and Pestle bar.","Auriga Wellness inspired by lunar cycles, offering organic Balinese treatments and rainforest yoga.","Guided rice paddy treks, organic farming workshops, traditional Balinese blessing ceremonies, e-bike tours.",An extraordinarily imaginative jungle camp design that merges adventure with ultra-luxury comfort.,TRUE,TRUE,TRUE,TRUE,FALSE,16,PUBLISHED
17,"Mandapa, a Ritz-Carlton Reserve",Indonesia,Bali,Bali,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,An intimate sanctuary of riverside pool villas nestled between sacred temples and emerald rice paddies in Bali.,"Mandapa, a Ritz-Carlton Reserve offers an ultra-personalized retreat along the Ayung River in Ubud. Featuring traditional yet contemporary Javanese architecture, bespoke butler service (Patih), organic farm, and deeply spiritual wellness programs.",https://www.ritzcarlton.com/en/hotels/indonesia/mandapa,https://www.ritzcarlton.com/en/hotels/indonesia/mandapa/reservations,https://maps.google.com/?q=Mandapa+Ritz+Carlton+Reserve+Bali,April to October,"Ayung River valley setting, private butler (Patih) service, Mandapa Spa & Wellness, organic farm and paddy.","Outdoor swimming pool, wellness center, fitness studio, kids' club (The Mandapa Camp), library.","Sawah Terrace (Indonesian cuisine), Kubu (Mediterranean dining in bamboo pods), The Library.","Mandapa Spa offering holistic spa treatments, wellness consultations, river-facing yoga studio.","Rice planting experiences, river rafting, cycling through Balinese villages, wellness cooking classes.",An immersive spiritual and natural retreat offering exquisite privacy and Ritz-Carlton Reserve's peerless care.,TRUE,TRUE,TRUE,TRUE,FALSE,17,PUBLISHED
18,Four Seasons Resort Bora Bora,French Polynesia,Bora Bora,Leeward Islands,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,The quintessential South Pacific paradise offering thatched overwater bungalows with views of Mount Otemanu.,"Perched over the turquoise lagoon of Bora Bora against the dramatic backdrop of Mount Otemanu, Four Seasons Resort Bora Bora offers luxurious overwater bungalows, beachfront villas, a unique lagoon sanctuary, and peerless Polynesian romance.",https://www.fourseasons.com/borabora,https://www.fourseasons.com/borabora/reservations,https://maps.google.com/?q=Four+Seasons+Resort+Bora+Bora,May to October (Driest and coolest months),"Overwater bungalows with glass viewing panels, private lagoon sanctuary with rays, Mount Otemanu views, Fare Hoa Beach Bar.","Infinity pool, tennis courts, spa sanctuary, wedding chapel, children's program, catamaran.","Arii Moana (Polynesian/French), Tere Nui, Vaimiti (overwater sushi), Fare Hoa Beach Bar.",Tata'u Spa offering traditional Polynesian massage therapies and open-air treatment rooms.,"Shark and ray snorkeling safaris, deep-sea fishing, paddleboarding, sunset catamaran cruises.",The ultimate South Pacific dream escape featuring iconic overwater bungalows and legendary Four Seasons service.,TRUE,TRUE,TRUE,TRUE,FALSE,18,PUBLISHED
19,One&Only Palmilla,Mexico,Los Cabos,Baja California Sur,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,"A cliffside desert-meets-ocean luxury oasis in Los Cabos, Mexico, offering whale watching and authentic Mexican charm.","Perched where the desert meets the crashing waves of the Sea of Cortez, One&Only Palmilla is a legendary Baja resort. Featuring whitewashed hacienda-style rooms, swimmable beach coves, world-class golf, and culinary offerings by Jean-Georges Vongerichten.",https://www.oneandonlyresorts.com/palmilla,https://www.oneandonlyresorts.com/palmilla/reservations,https://maps.google.com/?q=OneAndOnly+Palmilla+Los+Cabos,November to May (Pleasantly warm and dry),"Swimmable beach coves, One&Only Spa, Jack Nicklaus golf course, whale watching from private terraces.","Multiple pools, ESPA spa, tennis courts, boutique, private yacht charters, 24-hour butler service.","Seared (steakhouse by Jean-Georges), Agua (Mexican fine dining), Suviche, The Pelican.","Garden spa oasis offering holistic treatments, yoga pavilion, and plunge pools.","Deep-sea fishing, seasonal whale watching tours, tequila tastings, surfing excursions.",The premier luxury retreat in Los Cabos combining dramatic cliffside ocean views with swimmable beaches.,TRUE,TRUE,TRUE,TRUE,FALSE,19,PUBLISHED
20,Rosewood Mayakoba,Mexico,Riviera Maya,Quintana Roo,Luxury Resorts & Private Islands,Luxury Hotel / Resort,Luxury Resorts & Private Islands,"An eco-luxury mangrove resort in the Riviera Maya, Mexico, blending Mayan heritage with modern elegance.","Immersed in lush emerald mangroves and lagoons along the Caribbean coast, Rosewood Mayakoba is a tranquil paradise. Reached via private electric boats, villas feature rooftop sundecks, plunge pools, and private docks, complemented by Sense Spa on its own private island.",https://www.rosewoodhotels.com/en/mayakoba-riviera-maya,https://www.rosewoodhotels.com/en/mayakoba-riviera-maya/reservations,https://maps.google.com/?q=Rosewood+Mayakoba+Riviera+Maya,December to April (Dry season),"Overwater lagoon suites with plunge pools, Sense Spa on private island, El Camaleón PGA golf course, boat transfers.","Multiple swimming pools, championship golf course, tennis courts, fitness center, kids' club.","Casa Del Lago (Italian/Mexican), Zapote Bar, Punta Bonita (beachfront grill), Agave Study.","Sense, A Rosewood Spa offering traditional Mayan healing rituals, hydrotherapy, and yoga.","Eco-boat tours through mangroves, cenote diving, snorkeling on the Mesoamerican Barrier Reef, tequila masterclasses.","An exquisite eco-luxury resort offering serene mangrove canals, private plunge pools, and pristine white-sand beaches.",TRUE,TRUE,TRUE,TRUE,FALSE,20,PUBLISHED
21,Royal Mansour,Morocco,Marrakech,Marrakech-Safi,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury",An opulent palace retreat inside Marrakech's historic medina featuring private riads and stunning gardens.,"Royal Mansour Marrakech is an architectural masterpiece commissioned by King Mohammed VI. Instead of traditional hotel rooms, guests stay in luxurious private three-story riads surrounded by fragrant orange orchards, tranquil fountains, and subterranean service tunnels.",https://www.royalmansour.com/en/marrakech,https://www.royalmansour.com/en/marrakech/reservations,https://maps.google.com/?q=Royal+Mansour+Marrakech,March to May & September to November,"Private multi-story riads with rooftop plunge pools, world-class spa with wrought-iron atrium, restaurants by Yannick Alléno.","Subterranean butler tunnels, outdoor grand pool, luxury spa, lush gardens, private chauffeurs.","La Grande Table Marocaine, Le Jardin, Sesamo (Italian by Yannick Alléno), The Bar.","Iconic Royal Mansour Spa featuring signature hammams, hydrotherapy pools, and holistic wellness suites.","Medina private heritage tours, hot air balloon flights over Atlas Mountains, cooking classes.",Unrivaled Moorish craftsmanship and absolute privacy with individual multi-story riads in the heart of Marrakech.,TRUE,TRUE,TRUE,TRUE,FALSE,21,PUBLISHED
22,Hotel Sacher Vienna,Austria,Vienna,Vienna,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury","Vienna's legendary luxury hotel on the Ringstrasse, famed for creating the original Sachertorte.","Hotel Sacher Vienna stands proudly opposite the Vienna State Opera, embodying 19th-century imperial grandeur. Home of the world-famous Original Sacher-Torte, it combines historic Austrian tradition with exquisite contemporary comfort and Sacher Spa wellness.",https://www.sacher.com/en/vienna,https://www.sacher.com/en/vienna/booking,https://maps.google.com/?q=Hotel+Sacher+Vienna,April to June & September to December (Christmas markets),"Original Sacher-Torte, location opposite Vienna State Opera, historic art collection, Sacher Spa.","Sacher Spa, fitness center, valet parking, private chauffeur, pet-friendly concierge.","Café Sacher Wien, Rote Bar (traditional Viennese fine dining), Grüne Bar, Sacher Bar.","Sacher Spa offering chocolate-infused body treatments, saunas, and relaxation lounges.","Private opera tours, classical music concerts, historic city walking tours, Viennese waltz lessons.","The timeless epicenter of Viennese cultural heritage, imperial luxury, and culinary confectionary history.",TRUE,TRUE,TRUE,TRUE,FALSE,22,PUBLISHED
23,The Savoy,United Kingdom,London,Greater London,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury","London's legendary luxury hotel on the Strand, steeped in theatrical history and British elegance.","Overlooking the River Thames since 1889, The Savoy is an icon of British hospitality. Famed for its American Bar, Savoy Grill by Gordon Ramsay, and art deco and Edwardian design, it has hosted royalty, artists, and global leaders for over a century.",https://www.thesavoylondon.com,https://www.thesavoylondon.com/reservations,https://maps.google.com/?q=The+Savoy+London,May to September & December,"Thames River views, The American Bar (world's best cocktail bar), Savoy Grill by Gordon Ramsay, Beaufort Bar.","Indoor swimming pool, fitness center, beauty salon, chauffeur service, 24-hour butler service in suites.","Savoy Grill, 1890 by Gordon Ramsay, The River Restaurant, The American Bar, Beaufort Bar.","Savoy Spa offering restorative treatments, indoor pool, sauna, and steam facilities.","Private West End theatre tours, Thames private yacht cruises, historical hotel tours with archivist.","A legendary London landmark combining theatrical heritage, world-class dining, and exceptional butler service.",TRUE,TRUE,TRUE,TRUE,FALSE,23,PUBLISHED
